first_name,last_name,age,phone_number,set_id,number,theme,subtheme,year,name,pieces,us_price,image_url,quantity
Katherine,Beck,45,209-555-7105,26025,41178,Elves,,2018,The Dragon Sanctuary,585,49.99,,1
Beemnet,Masters,41,902-555-8429,24678,60109,City,Fire,2018,Fire Boat,412,79.99,http://images.brickset.com/sets/images/60109-1.jpg,1
Beemnet,Masters,41,902-555-8429,24794,75135,Star Wars,Episode III,2018,Obi-Wan's Jedi Interceptor,215,24.99,http://images.brickset.com/sets/images/75135-1.jpg,1
Shylynn,Seitz,28,205-555-7084,24756,70310,Nexo Knights,,2018,Knighton Battle Blaster,76,9.99,http://images.brickset.com/sets/images/70310-1.jpg,2
Shylynn,Seitz,28,205-555-7084,24679,60111,City,Fire,2018,Fire Utility Truck,368,39.99,http://images.brickset.com/sets/images/60111-1.jpg,1
Sonny,Smith,24,246-555-7913,24699,76053,DC Comics Super Heroes,Batman,2018,Gotham City Cycle Chase,224,19.99,http://images.brickset.com/sets/images/76053-1.jpg,1
Joshua,Reyes,53,251-555-5985,25605,75146,Star Wars,Seasonal,2018,Star Wars Advent Calendar,282,39.99,http://images.brickset.com/sets/images/75146-1.jpg,2
Joshua,Reyes,53,251-555-5985,24780,75115,Star Wars,Buildable Figures,2018,Poe Dameron,102,24.99,http://images.brickset.com/sets/images/75115-1.jpg,3
Joshua,Reyes,53,251-555-5985,24618,71238,Dimensions,Fun Pack,2018,Fun Pack: Cyberman,40,14.99,http://images.brickset.com/sets/images/71238-1.jpg,1
Asia,Salyer,24,508-555-0418,24751,76066,Marvel Super Heroes,Mighty Micros,2018,Hulk vs. Ultron,80,9.99,http://images.brickset.com/sets/images/76066-1.jpg,3
Neil,Gabel,30,508-555-5700,26056,5005057,Gear,Video Games/XBOX 360,2018,Marvel Avengers XBOX 360 Video Game,NA,49.99,http://images.brickset.com/sets/images/5005057-1.jpg,2
Neil,Gabel,30,508-555-5700,26058,5005059,Gear,Video Games/PS3,2018,Marvel Avengers PS3 Video Game,NA,49.99,http://images.brickset.com/sets/images/5005059-1.jpg,1
Neil,Gabel,30,508-555-5700,24672,71307,Bionicle,Toa,2018,Gali - Uniter of Water,87,14.99,http://images.brickset.com/sets/images/71307-1.jpg,1
Chayanne,Williams,17,869-555-6681,24678,60109,City,Fire,2018,Fire Boat,412,79.99,http://images.brickset.com/sets/images/60109-1.jpg,2
Chayanne,Williams,17,869-555-6681,24697,76044,DC Comics Super Heroes,Batman v Superman: Dawn of Justice,2018,Clash of the Heroes,92,12.99,http://images.brickset.com/sets/images/76044-1.jpg,1
Demetri,Do,21,541-555-1433,24665,21031,Architecture,,2018,Burj Khalifa,333,39.99,http://images.brickset.com/sets/images/21031-1.jpg,1
Demetri,Do,21,541-555-1433,25620,70588,Ninjago,Rise of the Villains,2018,Titanium Ninja Tumbler ,342,29.99,,4
Demetri,Do,21,541-555-1433,24917,70314,Nexo Knights,,2018,Beast Master's Chaos Chariot,314,29.99,http://images.brickset.com/sets/images/70314-1.jpg,2
Demetri,Do,21,541-555-1433,24794,75135,Star Wars,Episode III,2018,Obi-Wan's Jedi Interceptor,215,24.99,http://images.brickset.com/sets/images/75135-1.jpg,1
Brittany,Mclellan,25,210-555-0265,24662,21026,Architecture,Skylines,2018,Venice,212,29.99,http://images.brickset.com/sets/images/21026-1.jpg,2
Brittany,Mclellan,25,210-555-0265,24717,10818,Duplo,,2018,My First Truck,29,19.99,http://images.brickset.com/sets/images/10818-1.jpg,1
Joseph,Ross,33,254-555-7628,24794,75135,Star Wars,Episode III,2018,Obi-Wan's Jedi Interceptor,215,24.99,http://images.brickset.com/sets/images/75135-1.jpg,4
Joseph,Ross,33,254-555-7628,24684,60117,City,Traffic,2018,Van & Caravan,250,19.99,http://images.brickset.com/sets/images/60117-1.jpg,2
Paige,Wagner,35,860-555-1618,26038,41577,Mixels,Series 9,2018,Mysto,64,4.99,,1
Paige,Wagner,35,860-555-1618,24727,41176,Elves,,2018,The Secret Market Place,691,59.99,http://images.brickset.com/sets/images/41176-1.jpg,3
Paige,Wagner,35,860-555-1618,24957,71309,Bionicle,Toa,2018,Onua - Uniter of Earth,143,19.99,http://images.brickset.com/sets/images/71309-1.jpg,1
Paige,Wagner,35,860-555-1618,24798,75140,Star Wars,The Force Awakens,2018,Resistance Troop Transporter,646,69.99,http://images.brickset.com/sets/images/75140-1.jpg,1
Daianaira,Joseph,26,714-555-9762,25594,71011,Collectable Minifigures,Series 15,2018,LEGO Minifigures - Series 15 - Sealed Box,NA,3.99,http://images.brickset.com/sets/images/71011-18.jpg,1
Daianaira,Joseph,26,714-555-9762,26058,5005059,Gear,Video Games/PS3,2018,Marvel Avengers PS3 Video Game,NA,49.99,http://images.brickset.com/sets/images/5005059-1.jpg,1
Sean,Cordova,43,881-555-7280,25004,41565,Mixels,Series 8,2018,Hydro,70,4.99,http://images.brickset.com/sets/images/41565-1.jpg,5
Sean,Cordova,43,881-555-7280,25656,10804,Duplo,,2018,Jungle,86,49.99,http://images.brickset.com/sets/images/10804-1.jpg,1
Amber,Terwilliger,35,626-555-5321,24733,41118,Friends,,2018,Heartlake Supermarket,313,29.99,http://images.brickset.com/sets/images/41118-1.jpg,2
Amber,Terwilliger,35,626-555-5321,25611,21127,Minecraft,Minifig-scale,2018,The Fortress,NA,109.99,http://images.brickset.com/sets/images/21127-1.jpg,1
Katie,Evering,37,882-555-7296,24659,71228,Dimensions,Level Pack,2018,Level Pack: Ghostbusters,115,29.99,http://images.brickset.com/sets/images/71228-1.jpg,1
Katie,Evering,37,882-555-7296,26040,41579,Mixels,Series 9,2018,Camsta,62,4.99,,2
Katie,Evering,37,882-555-7296,25659,75821,The Angry Birds Movie,,2018,Piggy Car Escape,74,12.99,http://images.brickset.com/sets/images/75821-1.jpg,2
Katie,Evering,37,882-555-7296,24765,70332,Nexo Knights,Ultimate,2018,Ultimate Aaron,82,9.99,http://images.brickset.com/sets/images/70332-1.jpg,2
Nerea,Feldman,28,423-555-9631,24805,42049,Technic,,2018,Mine Loader,476,49.99,http://images.brickset.com/sets/images/42049-1.jpg,2
Nerea,Feldman,28,423-555-9631,25921,75157,Star Wars,Rebels,2018,Captain Rex's AT-TE,972,119.99,http://images.brickset.com/sets/images/75157-1.jpg,2
Julianna,Stephens,34,403-555-9991,24692,31044,Creator,,2018,Park Animals,202,14.99,http://images.brickset.com/sets/images/31044-1.jpg,1
Julianna,Stephens,34,403-555-9991,24797,75138,Star Wars,Episode V,2018,Hoth Attack,233,24.99,http://images.brickset.com/sets/images/75138-1.jpg,1
Katrina,Clyman,32,604-555-3882,24689,60129,City,Police,2018,Police Patrol Boat,200,49.99,http://images.brickset.com/sets/images/60129-1.jpg,1
Katrina,Clyman,32,604-555-3882,24663,21027,Architecture,Skylines,2018,Berlin,289,29.99,http://images.brickset.com/sets/images/21027-1.jpg,1
Ramon,Walker-Reese,23,NA,24796,75137,Star Wars,Episode V,2018,Carbon-Freezing Chamber,231,24.99,http://images.brickset.com/sets/images/75137-1.jpg,1
Ramon,Walker-Reese,23,NA,25633,70318,Nexo Knights,,2018,The Glob Lobber,95,9.99,http://images.brickset.com/sets/images/70318-1.jpg,1
Brandon,Lopez,21,606-555-3903,24713,10809,Duplo,,2018,Police Patrol,15,14.99,http://images.brickset.com/sets/images/10809-1.jpg,1
Brandon,Lopez,21,606-555-3903,24660,71241,Dimensions,Fun Pack,2018,Fun Pack: Slimer,33,14.99,http://images.brickset.com/sets/images/71241-1.jpg,1
Sagi,Heredia,19,989-555-3671,24898,41113,Friends,Party,2018,Party Gift Shop,52,4.99,http://images.brickset.com/sets/images/41113-1.jpg,3
Sagi,Heredia,19,989-555-3671,25640,70325,Nexo Knights,,2018,Infernox captures the Queen,253,24.99,http://images.brickset.com/sets/images/70325-1.jpg,1
Michael,Cruz,17,361-555-8212,24723,41172,Elves,,2018,The Water Dragon Adventure,212,19.99,http://images.brickset.com/sets/images/41172-1.jpg,1
Michael,Cruz,17,361-555-8212,24618,71238,Dimensions,Fun Pack,2018,Fun Pack: Cyberman,40,14.99,http://images.brickset.com/sets/images/71238-1.jpg,1
Michael,Cruz,17,361-555-8212,24920,70605,Ninjago,Skybound,2018,Misfortune's Keep,754,79.99,http://images.brickset.com/sets/images/70605-1.jpg,1
Melissa,Holmberg,36,NA,24791,75132,Star Wars,The Force Awakens,2018,First Order Battle Pack,88,12.99,http://images.brickset.com/sets/images/75132-1.jpg,1
Cody,Gonzales,44,973-555-3236,24908,42052,Technic,,2018,Heavy Lift Helicopter,1042,139.99,http://images.brickset.com/sets/images/42052-1.jpg,1
Cody,Gonzales,44,973-555-3236,25922,75149,Star Wars,The Force Awakens,2018,Resistance X-wing Fighter,740,79.99,http://images.brickset.com/sets/images/75149-1.jpg,3
Jessie,Barron,37,918-555-7552,24696,31050,Creator,,2018,Corner Deli,467,39.99,http://images.brickset.com/sets/images/31050-1.jpg,1
Jessie,Barron,37,918-555-7552,24730,41115,Friends,,2018,Emma's Creative Workshop,108,9.99,http://images.brickset.com/sets/images/41115-1.jpg,1
Jackson,Roybal,26,NA,26036,41575,Mixels,Series 9,2018,Cobrax,64,4.99,,1
Jackson,Roybal,26,NA,24700,76061,DC Comics Super Heroes,Mighty Micros,2018,Batman vs. Catwoman,79,9.99,http://images.brickset.com/sets/images/76061-1.jpg,1
Jackson,Roybal,26,NA,24695,31048,Creator,,2018,Lakeside Lodge,368,29.99,http://images.brickset.com/sets/images/31048-1.jpg,1
Kelsey,Schiffner,37,510-555-5847,24919,70601,Ninjago,Skybound,2018,Sky Shark,221,19.99,http://images.brickset.com/sets/images/70601-1.jpg,2
Kelsey,Schiffner,37,510-555-5847,24756,70310,Nexo Knights,,2018,Knighton Battle Blaster,76,9.99,http://images.brickset.com/sets/images/70310-1.jpg,1
Kalynne,Kerth,46,361-555-5328,24976,60105,City,Fire,2018,Fire ATV,64,6.99,http://images.brickset.com/sets/images/60105-1.jpg,1
Kalynne,Kerth,46,361-555-5328,25641,70326,Nexo Knights,,2018,The Black Knight Mech,530,39.99,,1
John Jay,Griego,50,710-555-8921,24552,71229,Dimensions,Team Pack,2018,Team Pack: Joker and Harley Quinn,92,24.99,http://images.brickset.com/sets/images/71229-1.jpg,2
John Jay,Griego,50,710-555-8921,24795,75136,Star Wars,Episode IV,2018,Droid Escape Pod,197,24.99,http://images.brickset.com/sets/images/75136-1.jpg,1
Kareena,Hagar,23,678-555-3786,25663,75825,The Angry Birds Movie,,2018,Piggy Pirate Ship,620,59.99,http://images.brickset.com/sets/images/75825-1.jpg,1
Celia,Foley,42,NA,24670,71305,Bionicle,Toa,2018,Lewa - Uniter of Jungle,79,14.99,http://images.brickset.com/sets/images/71305-1.jpg,1
Celia,Foley,42,NA,24734,41119,Friends,,2018,Heartlake Cupcake Cafe,439,39.99,http://images.brickset.com/sets/images/41119-1.jpg,1
Celia,Foley,42,NA,25645,71314,Bionicle,Reboot Villains,2018,Storm Beast,109,14.99,,3
Celia,Foley,42,NA,25605,75146,Star Wars,Seasonal,2018,Star Wars Advent Calendar,282,39.99,http://images.brickset.com/sets/images/75146-1.jpg,2
Celia,Foley,42,NA,25612,21128,Minecraft,Minifig-scale,2018,The Village,NA,199.99,,1
Alyssa,Gorrell,38,867-555-7840,24683,60116,City,Medical,2018,Ambulance Plane,183,19.99,http://images.brickset.com/sets/images/60116-1.jpg,2
Alyssa,Gorrell,38,867-555-7840,25880,853548,Gear,Key Chains/Friends,2018,Andrea Key Chain,NA,5.99,http://images.brickset.com/sets/images/853548-1.jpg,1
Alyssa,Gorrell,38,867-555-7840,24659,71228,Dimensions,Level Pack,2018,Level Pack: Ghostbusters,115,29.99,http://images.brickset.com/sets/images/71228-1.jpg,1
Tian,Nelson,38,205-555-7773,25634,70319,Nexo Knights,,2018,Macy's Thunder Mace,202,19.99,http://images.brickset.com/sets/images/70319-1.jpg,4
Tian,Nelson,38,205-555-7773,25647,71316,Bionicle,Reboot Villains,2018,Umarak the Destroyer,191,24.99,,1
Tian,Nelson,38,205-555-7773,26060,5005051,Gear,Digital Media,2018,Friends of Heartlake City Girlz 4 Life,NA,19.99,,1
Elizabeth,Kendrick,35,816-555-5138,25630,70337,Nexo Knights,Ultimate,2018,Ultimate Lance,75,9.99,,1
Elizabeth,Kendrick,35,816-555-5138,24735,41120,Friends,Adventure Camp,2018,Adventure Camp Archery,114,9.99,http://images.brickset.com/sets/images/41120-1.jpg,1
Van,Rapp,51,413-555-0987,25632,70339,Nexo Knights,Ultimate,2018,Ultimate Flama,67,9.99,,2
Sofia,Szloboda,46,602-555-2267,24906,41562,Mixels,Series 7,2018,Trumpsy,54,4.99,http://images.brickset.com/sets/images/41562-1.jpg,2
Sofia,Szloboda,46,602-555-2267,24704,41140,Disney Princess,Palace Pets,2018,Daisy's Beauty Salon,98,9.99,http://images.brickset.com/sets/images/41140-1.jpg,2
Abigayle,Hosman,34,604-555-7100,24710,10806,Duplo,,2018,Horses,20,14.99,http://images.brickset.com/sets/images/10806-1.jpg,1
Abigayle,Hosman,34,604-555-7100,25630,70337,Nexo Knights,Ultimate,2018,Ultimate Lance,75,9.99,,1
Joseph,Brown,50,801-555-2112,24704,41140,Disney Princess,Palace Pets,2018,Daisy's Beauty Salon,98,9.99,http://images.brickset.com/sets/images/41140-1.jpg,1
Joseph,Brown,50,801-555-2112,25851,B0189OU0JY,Gear,Digital media,2018,LEGO Star Wars: Droid Tales,NA,19.99,http://images.brickset.com/sets/images/B0189OU0JY-1.jpg,1
Joseph,Brown,50,801-555-2112,25910,30347,City,Fire,2018,Fire Car,53,3.99,http://images.brickset.com/sets/images/30347-1.jpg,2
Joseph,Brown,50,801-555-2112,25657,76051,Marvel Super Heroes,Captain America: Civil War,2018,Super Hero Airport Battle,807,79.99,http://images.brickset.com/sets/images/76051-1.jpg,2
Austin,Atencio,30,225-555-7391,25659,75821,The Angry Birds Movie,,2018,Piggy Car Escape,74,12.99,http://images.brickset.com/sets/images/75821-1.jpg,1
Austin,Atencio,30,225-555-7391,24804,42048,Technic,,2018,Race Kart,345,29.99,http://images.brickset.com/sets/images/42048-1.jpg,2
Austin,Atencio,30,225-555-7391,26041,41580,Mixels,Series 9,2018,Myke,63,4.99,,1
Austin,Atencio,30,225-555-7391,24704,41140,Disney Princess,Palace Pets,2018,Daisy's Beauty Salon,98,9.99,http://images.brickset.com/sets/images/41140-1.jpg,1
Brenden,Trujillo,31,928-555-1076,25658,21305,Ideas,,2018,Maze,769,69.99,,1
Darian,Smith,24,830-555-6006,26036,41575,Mixels,Series 9,2018,Cobrax,64,4.99,,1
Elizabeth,Roemmich,32,502-555-4381,24994,10251,Advanced Models,Modular Buildings,2018,Brick Bank,2380,169.99,http://images.brickset.com/sets/images/10251-1.jpg,1
Elizabeth,Roemmich,32,502-555-4381,25657,76051,Marvel Super Heroes,Captain America: Civil War,2018,Super Hero Airport Battle,807,79.99,http://images.brickset.com/sets/images/76051-1.jpg,1
Lady,Brown,21,856-555-0798,24723,41172,Elves,,2018,The Water Dragon Adventure,212,19.99,http://images.brickset.com/sets/images/41172-1.jpg,1
Lady,Brown,21,856-555-0798,24666,71301,Bionicle,Companions,2018,Ketar - Creature of Stone,80,9.99,http://images.brickset.com/sets/images/71301-1.jpg,1
Lady,Brown,21,856-555-0798,24733,41118,Friends,,2018,Heartlake Supermarket,313,29.99,http://images.brickset.com/sets/images/41118-1.jpg,1
Lady,Brown,21,856-555-0798,24758,70312,Nexo Knights,,2018,Lance's Mecha Horse,237,19.99,http://images.brickset.com/sets/images/70312-1.jpg,1
Sarah,Wagner,20,NA,24898,41113,Friends,Party,2018,Party Gift Shop,52,4.99,http://images.brickset.com/sets/images/41113-1.jpg,1
Sarah,Wagner,20,NA,24671,71306,Bionicle,Toa,2018,Pohatu - Uniter of Stone,90,14.99,http://images.brickset.com/sets/images/71306-1.jpg,1
Sarah,Wagner,20,NA,26026,41179,Elves,,2018,Queen Dragon's Rescue,833,69.99,,1
Sarah,Wagner,20,NA,24720,10830,Duplo,,2018,Minnie's Café,27,19.99,http://images.brickset.com/sets/images/10830-1.jpg,1
Sarah,Wagner,20,NA,24725,41174,Elves,,2018,The Starlight Inn,343,29.99,http://images.brickset.com/sets/images/41174-1.jpg,1
Spencer,Pasillas,44,865-555-3503,24625,41066,Disney Princess,Frozen,2018,Anna & Kristoff's Sleigh Adventure,174,29.99,http://images.brickset.com/sets/images/41066-1.jpg,1
Spencer,Pasillas,44,865-555-3503,24716,10817,Duplo,,2018,Creative Chest,70,29.99,http://images.brickset.com/sets/images/10817-1.jpg,1
Spencer,Pasillas,44,865-555-3503,24891,10815,Duplo,,2018,My First Rocket,18,9.99,http://images.brickset.com/sets/images/10815-1.jpg,1
Spencer,Pasillas,44,865-555-3503,24756,70310,Nexo Knights,,2018,Knighton Battle Blaster,76,9.99,http://images.brickset.com/sets/images/70310-1.jpg,1
Steven,Washington,16,336-555-1433,25910,30347,City,Fire,2018,Fire Car,53,3.99,http://images.brickset.com/sets/images/30347-1.jpg,1
Steven,Washington,16,336-555-1433,25893,30349,City,,2018,Sports Car,47,3.99,http://images.brickset.com/sets/images/30349-1.jpg,5
Serena,Bartkowiak,16,305-555-2377,24806,71311,Bionicle,Miscellaneous,2018,Kopaka and Melum - Unity set,171,24.99,http://images.brickset.com/sets/images/71311-1.jpg,2
Serena,Bartkowiak,16,305-555-2377,24778,75113,Star Wars,Buildable Figures,2018,Rey,84,19.99,http://images.brickset.com/sets/images/75113-1.jpg,1
Serena,Bartkowiak,16,305-555-2377,24987,40201,Seasonal,Valentine's Day,2018,Valentine's Cupid Dog,150,9.99,http://images.brickset.com/sets/images/40201-1.jpg,1
Alejandre,Baek,26,616-555-9268,24771,70603,Ninjago,Skybound,2018,Raid Zeppelin,294,29.99,http://images.brickset.com/sets/images/70603-1.jpg,2
Billlie,Benson,50,940-555-2729,24719,10829,Duplo,Mickey Mouse Clubhouse,2018,Mickey's Workshop,18,19.99,http://images.brickset.com/sets/images/10829-1.jpg,1
Billlie,Benson,50,940-555-2729,25879,853534,Gear,Key Chains/Ninjago,2018,Airjitzu Jay Key Chain,NA,5.99,http://images.brickset.com/sets/images/853534-1.jpg,1
Marisa,Beck,37,580-555-3417,25622,70591,Ninjago,Skybound,2018,Kryptarium Prison Breakout,207,19.99,http://images.brickset.com/sets/images/70591-1.jpg,1
Marisa,Beck,37,580-555-3417,25917,76058,Marvel Super Heroes,Ultimate Spider-Man,2018,Spider-Man: Ghost Rider Team-Up,217,19.99,http://images.brickset.com/sets/images/76058-1.jpg,1
Marisa,Beck,37,580-555-3417,24896,31046,Creator,,2018,Fast Car,222,19.99,http://images.brickset.com/sets/images/31046-1.jpg,2
Marisa,Beck,37,580-555-3417,24692,31044,Creator,,2018,Park Animals,202,14.99,http://images.brickset.com/sets/images/31044-1.jpg,2
Cartrell,Park,49,816-555-5191,24726,41175,Elves,,2018,Fire Dragon's Lava Cave,441,39.99,http://images.brickset.com/sets/images/41175-1.jpg,1
Cartrell,Park,49,816-555-5191,24807,71235,Dimensions,Level Pack,2018,Level Pack: Midway Arcade,96,29.99,http://images.brickset.com/sets/images/71235-1.jpg,1
Krista,Gaines,24,307-555-5115,24697,76044,DC Comics Super Heroes,Batman v Superman: Dawn of Justice,2018,Clash of the Heroes,92,12.99,http://images.brickset.com/sets/images/76044-1.jpg,1
Krista,Gaines,24,307-555-5115,26024,41177,Elves,,2018,The Precious Crystal Mine,273,29.99,http://images.brickset.com/sets/images/41177-1.jpg,1
Krista,Gaines,24,307-555-5115,24702,76063,DC Comics Super Heroes,Mighty Micros,2018,The Flash vs. Captain Cold,88,9.99,http://images.brickset.com/sets/images/76063-1.jpg,2
Krista,Gaines,24,307-555-5115,24684,60117,City,Traffic,2018,Van & Caravan,250,19.99,http://images.brickset.com/sets/images/60117-1.jpg,2
Krista,Gaines,24,307-555-5115,24714,10814,Duplo,,2018,Tow Truck,28,19.99,http://images.brickset.com/sets/images/10814-1.jpg,1
Pa,Strasser,26,830-555-7071,24770,70602,Ninjago,Skybound,2018,Jay's Elemental Dragon,350,29.99,http://images.brickset.com/sets/images/70602-1.jpg,1
Pa,Strasser,26,830-555-7071,24795,75136,Star Wars,Episode IV,2018,Droid Escape Pod,197,24.99,http://images.brickset.com/sets/images/75136-1.jpg,2
Jessy,Lopez-Itomura,43,613-555-4443,25878,853505,Gear,Role-Play toys,2018,NK Sword Standard,NA,9.99,http://images.brickset.com/sets/images/853505-1.jpg,2
Jessy,Lopez-Itomura,43,613-555-4443,24676,60107,City,Fire,2018,Fire Ladder Truck,214,24.99,http://images.brickset.com/sets/images/60107-1.jpg,1
Jessy,Lopez-Itomura,43,613-555-4443,24748,76050,Marvel Super Heroes,Captain America: Civil War,2018,Crossbones' Hazard Heist,179,19.99,http://images.brickset.com/sets/images/76050-1.jpg,3
George,Guerra,35,NA,24895,31041,Creator,,2018,Construction Vehicles,64,4.99,http://images.brickset.com/sets/images/31041-1.jpg,1
Abraham,Medlock,23,754-555-6047,26034,41573,Mixels,Series 9,2018,Sweepz,61,4.99,,1
Abraham,Medlock,23,754-555-6047,24724,41173,Elves,,2018,Elvendale School of Dragons,230,19.99,http://images.brickset.com/sets/images/41173-1.jpg,2
Abraham,Medlock,23,754-555-6047,24783,75118,Star Wars,Buildable Figures,2018,Captain Phasma,82,24.99,http://images.brickset.com/sets/images/75118-1.jpg,1
Abraham,Medlock,23,754-555-6047,24709,10803,Duplo,,2018,Arctic,40,29.99,http://images.brickset.com/sets/images/10803-1.jpg,3
Abraham,Medlock,23,754-555-6047,25009,41570,Mixels,Series 8,2018,Skrubz,68,4.99,http://images.brickset.com/sets/images/41570-1.jpg,1
Mario,Synn,59,519-555-9924,25879,853534,Gear,Key Chains/Ninjago,2018,Airjitzu Jay Key Chain,NA,5.99,http://images.brickset.com/sets/images/853534-1.jpg,1
Mario,Synn,59,519-555-9924,25887,853543,Ninjago,,2018,Ninjago Party Set,70,7.99,http://images.brickset.com/sets/images/853543-1.jpg,3
Mario,Synn,59,519-555-9924,24905,41561,Mixels,Series 7,2018,Tapsy,57,4.99,http://images.brickset.com/sets/images/41561-1.jpg,2
Joshua,Dillard,41,734-555-7042,25877,853506,Gear,Role-Play toys,2018,NK Shield Standard,NA,12.99,http://images.brickset.com/sets/images/853506-1.jpg,1
Joshua,Dillard,41,734-555-7042,24767,70335,Nexo Knights,Ultimate,2018,Ultimate Lavaria,69,9.99,http://images.brickset.com/sets/images/70335-1.jpg,1
Annabelle,Lindegren,36,662-555-9880,25647,71316,Bionicle,Reboot Villains,2018,Umarak the Destroyer,191,24.99,,1
Annabelle,Lindegren,36,662-555-9880,24986,30446,DC Comics Super Heroes,Batman v Superman: Dawn of Justice,2018,The Batmobile,63,3.99,http://images.brickset.com/sets/images/30446-1.jpg,2
Gabrielle,Mccumiskey,37,441-555-2199,24915,60130,City,Police,2018,Prison Island,754,89.99,http://images.brickset.com/sets/images/60130-1.jpg,2
Makenzie,Pitts,25,NA,24792,75134,Star Wars,Battlefront,2018,Galactic Empire Battle Pack,109,12.99,http://images.brickset.com/sets/images/75134-1.jpg,1
Makenzie,Pitts,25,NA,26037,41576,Mixels,Series 9,2018,Spinza,60,4.99,,2
Ramses,Ackah Yensu,38,909-555-0851,25879,853534,Gear,Key Chains/Ninjago,2018,Airjitzu Jay Key Chain,NA,5.99,http://images.brickset.com/sets/images/853534-1.jpg,1
Ramses,Ackah Yensu,38,909-555-0851,24791,75132,Star Wars,The Force Awakens,2018,First Order Battle Pack,88,12.99,http://images.brickset.com/sets/images/75132-1.jpg,1
Ramses,Ackah Yensu,38,909-555-0851,24916,60131,City,Police,2018,Crooks Island,244,29.99,http://images.brickset.com/sets/images/60131-1.jpg,1
Ramses,Ackah Yensu,38,909-555-0851,24719,10829,Duplo,Mickey Mouse Clubhouse,2018,Mickey's Workshop,18,19.99,http://images.brickset.com/sets/images/10829-1.jpg,2
Ramses,Ackah Yensu,38,909-555-0851,24796,75137,Star Wars,Episode V,2018,Carbon-Freezing Chamber,231,24.99,http://images.brickset.com/sets/images/75137-1.jpg,2
Christian,Ortiviz Madrid,41,434-555-8176,24781,75116,Star Wars,Buildable Figures,2018,Finn,98,24.99,http://images.brickset.com/sets/images/75116-1.jpg,3
Christian,Ortiviz Madrid,41,434-555-8176,25630,70337,Nexo Knights,Ultimate,2018,Ultimate Lance,75,9.99,,1
Christian,Ortiviz Madrid,41,434-555-8176,24729,41111,Friends,Party,2018,Party Train,109,9.99,http://images.brickset.com/sets/images/41111-1.jpg,1
Christian,Ortiviz Madrid,41,434-555-8176,24766,70334,Nexo Knights,Ultimate,2018,Ultimate Beast Master,65,9.99,http://images.brickset.com/sets/images/70334-1.jpg,2
Jeffrey,Cervantes,61,859-555-4454,24919,70601,Ninjago,Skybound,2018,Sky Shark,221,19.99,http://images.brickset.com/sets/images/70601-1.jpg,1
Jeffrey,Cervantes,61,859-555-4454,24784,75125,Star Wars,MicroFighters,2018,Resistance X-wing Fighter,87,9.99,http://images.brickset.com/sets/images/75125-1.jpg,1
Jeffrey,Cervantes,61,859-555-4454,24733,41118,Friends,,2018,Heartlake Supermarket,313,29.99,http://images.brickset.com/sets/images/41118-1.jpg,1
Jeffrey,Cervantes,61,859-555-4454,24689,60129,City,Police,2018,Police Patrol Boat,200,49.99,http://images.brickset.com/sets/images/60129-1.jpg,1
Meagan,Burke,22,316-555-5143,24769,70600,Ninjago,Skybound,2018,Ninja Bike Chase,231,19.99,http://images.brickset.com/sets/images/70600-1.jpg,1
Meagan,Burke,22,316-555-5143,24705,41141,Disney Princess,Palace Pets,2018,Pumpkin's Royal Carriage,79,9.99,http://images.brickset.com/sets/images/41141-1.jpg,1
Meagan,Burke,22,316-555-5143,24668,71303,Bionicle,Companions,2018,Ikir - Creature of Fire,77,9.99,http://images.brickset.com/sets/images/71303-1.jpg,1
Meagan,Burke,22,316-555-5143,25901,5004612,Gear,Watches/Clocks,2018,Lucy Wyldstyle Minifigure Link Watch,NA,24.99,http://images.brickset.com/sets/images/5004612-1.jpg,1
Dakotah,Baca,30,979-555-1121,25611,21127,Minecraft,Minifig-scale,2018,The Fortress,NA,109.99,http://images.brickset.com/sets/images/21127-1.jpg,1
Dakotah,Baca,30,979-555-1121,24689,60129,City,Police,2018,Police Patrol Boat,200,49.99,http://images.brickset.com/sets/images/60129-1.jpg,1
Elaine,Richa,37,246-555-8048,24759,70313,Nexo Knights,,2018,Moltor's Lava Smasher,187,19.99,http://images.brickset.com/sets/images/70313-1.jpg,2
Chisa,Pomeroy,39,617-555-1805,24788,75129,Star Wars,MicroFighters,2018,Wookiee Gunship,84,9.99,http://images.brickset.com/sets/images/75129-1.jpg,1
Chisa,Pomeroy,39,617-555-1805,25901,5004612,Gear,Watches/Clocks,2018,Lucy Wyldstyle Minifigure Link Watch,NA,24.99,http://images.brickset.com/sets/images/5004612-1.jpg,2
Trevor,Calderon-Nava,47,778-555-6609,24746,76048,Marvel Super Heroes,Avengers Assemble,2018,Iron Skull Sub Attack,335,29.99,http://images.brickset.com/sets/images/76048-1.jpg,3
Trevor,Calderon-Nava,47,778-555-6609,24727,41176,Elves,,2018,The Secret Market Place,691,59.99,http://images.brickset.com/sets/images/41176-1.jpg,1
Senay,Hildreth,30,607-555-8247,24895,31041,Creator,,2018,Construction Vehicles,64,4.99,http://images.brickset.com/sets/images/31041-1.jpg,3
Senay,Hildreth,30,607-555-8247,24798,75140,Star Wars,The Force Awakens,2018,Resistance Troop Transporter,646,69.99,http://images.brickset.com/sets/images/75140-1.jpg,2
Senay,Hildreth,30,607-555-8247,25642,70327,Nexo Knights,,2018,The King's Mech,375,29.99,http://images.brickset.com/sets/images/70327-1.jpg,1
